-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted
640           1626.75        1740.62
704           1476.25        1653.48
768           1371.05        1577.75
832           1257.14        1511.14
896           1184.62        1451.99
960           1113.14        1399.00
1024          1068.36        1351.19
1088          1091.42        1307.76
1152          1080.26        1268.09
1216          1071.37        1231.68
1280          945.43         1198.11
1344          946.86         1167.02
1408          949.12         1138.13
1472          997.52         1111.19
1536          981.52         1086.00
1600          950.46         1062.37
1664          898.39         1040.15
1728          976.38         1019.22
1792          1029.88        999.44
1856          900.05         980.72
1920          939.77         962.96
1984          930.79         946.10
2048          1020.94        930.05
2112          880.75         914.76
2176          895.47         900.16
2240          853.82         886.21
2304          935.01         872.86
2368          861.75         860.07
2432          941.49         847.79
2496          933.50         836.01
2560          876.09         824.68
2624          925.24         813.78
2688          951.68         803.28
2752          935.46         793.16
2816          891.87         783.40
2880          925.64         773.97
2944          855.11         764.86
3008          925.34         756.04

Session Time: 35 dk


-----------------------S21---------------------

Power Regression: 
49597.87 x^ -0.60  (R^2 = 0.92)

-------------RESULTS----------------
Memory       Measured       Predicted

384           1545.85        1420.06
448           1560.33        1295.19
512           1368.97        1195.93
576           1208.64        1114.70
640           1099.03        1046.74
704           975.33         988.83
768           878.76         938.76
832           948.21         894.95
896           813.33         856.21
960           752.63         821.66
1024          726.93         790.59
1088          686.18         762.49
1152          674.42         736.90
1216          584.95         713.49
1280          625.50         691.97
1344          618.48         672.10
1408          614.87         653.69
1472          618.90         636.56
1536          589.32         620.59
1600          532.21         605.65
1664          525.68         591.63
1728          555.72         578.44
1792          646.72         566.02
1856          473.21         554.28
1920          546.20         543.17
1984          453.11         532.64
2048          469.45         522.64
2112          477.99         513.12
2176          487.86         504.06
2240          484.89         495.41
2304          452.03         487.14
2368          495.69         479.24
2432          493.99         471.67
2496          519.89         464.41
2560          495.08         457.44
2624          444.48         450.75
2688          525.16         444.31
2752          455.93         438.11
2816          493.10         432.13
2880          440.91         426.37
2944          457.34         420.82
3008          508.62         415.45

Session Time: 28 dk

-----------------------S22---------------------

Power Regression: 
35794.13 x^ -0.58  (R^2 = 0.92)

-------------RESULTS----------------
Memory       Measured       Predicted

384           1272.03        1156.51
448           1361.46        1058.12
512           1109.46        979.68
576           1016.61        915.33
640           899.07         861.36
704           825.59         815.29
768           750.32         775.38
832           707.43         740.39
896           673.40         709.41
960           622.30         681.73
1024          568.35         656.82
1088          577.07         634.25
1152          564.41         613.68
1216          552.04         594.84
1280          529.95         577.50
1344          494.28         561.47
1408          496.77         546.61
1472          470.74         532.77
1536          500.46         519.85
1600          466.38         507.75
1664          425.26         496.39
1728          448.71         485.70
1792          433.56         475.62
1856          419.89         466.09
1920          449.55         457.07
1984          396.08         448.50
2048          407.75         440.36
2112          434.49         432.62
2176          424.77         425.23
2240          405.32         418.18
2304          419.14         411.44
2368          384.65         404.99
2432          404.84         398.81
2496          416.84         392.88
2560          428.05         387.18
2624          379.97         381.70
2688          432.44         376.44
2752          418.57         371.36
2816          419.24         366.47
2880          411.21         361.75
2944          423.26         357.19
3008          395.33         352.79

Session Time: 28 dk

-----------------------S23---------------------

Power Regression: 
14209.53 x^ -0.61  (R^2 = 0.91)

-------------RESULTS----------------
Memory       Measured       Predicted

320           513.01         414.27
384           476.64         370.48
448           402.24         337.08
512           343.76         310.59
576           269.59         288.96
640           276.22         270.89
704           240.38         255.52
768           230.16         242.26
832           215.10         230.66
896           206.09         220.42
960           183.28         211.29
1024          185.46         203.10
1088          176.28         195.69
1152          161.29         188.95
1216          160.44         182.80
1280          160.80         177.14
1344          153.01         171.92
1408          146.89         167.09
1472          142.33         162.60
